Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,James McCann\mccanja02,26,105,373,344,31,76,9,1,12,48,0,1,23,109,.221,.272,.358,.629,70,123,12,2,1,3,0
2,1B,Miguel Cabrera\cabremi01,33,158,679,595,92,188,31,1,38,108,0,0,75,116,.316,.393,.563,.956,157,335,26,4,0,5,15
3,2B,Ian Kinsler\kinslia01,34,153,679,618,117,178,29,4,28,83,14,6,45,115,.288,.348,.484,.831,124,299,5,13,0,3,0
4,SS,Jose Iglesias\iglesjo01,26,137,513,467,57,119,26,0,4,32,7,4,28,50,.255,.306,.336,.643,76,157,12,8,7,3,1
5,3B,Nick Castellanos\casteni01,24,110,447,411,54,117,25,4,18,58,1,1,28,111,.285,.331,.496,.827,122,204,4,3,0,5,1
6,LF,Justin Upton\uptonju01,28,153,626,570,81,140,28,2,31,87,9,4,50,179,.246,.310,.465,.775,108,265,15,4,0,2,3
7,CF,Cameron Maybin\maybica01,29,94,391,349,65,110,14,5,4,43,15,6,36,69,.315,.383,.418,.801,120,146,8,3,2,1,0
8,RF,J.D. Martinez\martijd02,28,120,517,460,69,141,35,2,22,68,1,2,49,128,.307,.373,.535,.908,144,246,13,3,0,5,2
9,DH,Victor Martinez#\martivi01,37,154,610,553,65,160,22,0,27,86,0,0,50,90,.289,.351,.476,.826,123,263,19,4,0,3,8
10,C,Jarrod Saltalamacchia#\saltaja01,31,92,292,246,30,42,5,1,12,38,0,0,41,104,.171,.284,.346,.630,71,85,1,0,0,5,1
11,UT,Andrew Romine#\rominan01,30,109,194,174,21,41,5,2,2,16,8,0,13,38,.236,.304,.322,.626,72,56,5,4,3,0,0
12,RF,Mike Aviles\avilemi01,35,68,181,167,17,35,5,1,1,6,2,2,9,27,.210,.258,.269,.528,45,45,5,2,3,0,0
13,CF,Tyler Collins*\collity01,26,56,151,136,14,32,2,3,4,15,1,1,13,38,.235,.305,.382,.687,86,52,1,1,0,1,0
14,CF,Anthony Gose*\gosean01,25,30,101,91,11,19,2,2,2,7,0,1,9,38,.209,.287,.341,.628,71,31,1,1,0,0,0
15,OF,Steven Moya*\moyast01,24,31,100,94,9,24,4,2,5,11,0,1,5,38,.255,.290,.500,.790,110,47,0,0,0,1,0
16,3B,Casey McGehee\mcgehca01,33,30,96,92,4,21,1,0,0,1,0,0,3,14,.228,.260,.239,.500,39,22,5,1,0,0,0
17,IF,Erick Aybar#\aybarer01,32,29,91,80,7,20,5,0,1,8,0,0,11,11,.250,.341,.350,.691,90,28,1,0,0,0,1
18,UT,JaCoby Jones\jonesja07,24,13,28,28,3,6,3,0,0,2,0,0,0,12,.214,.214,.321,.536,44,9,1,0,0,0,0
19,C,Bobby Wilson\wilsobo02,33,5,15,13,0,2,0,0,0,2,0,0,1,3,.154,.200,.154,.354,-1,2,1,0,0,1,0
20,MI,Dixon Machado\machadi01,24,8,13,10,1,1,0,0,0,0,0,0,3,4,.100,.308,.100,.408,20,1,0,0,0,0,0
21,OF,Alex Presley*\preslal01,30,3,5,5,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,10,1,0,0,0,0,0
22,1B,John Hicks\hicksjo02,26,1,2,2,1,1,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500,295,2,0,0,0,0,0
23,P,Anibal Sanchez\sanchan01,32,35,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0
24,P,Justin Verlander\verlaju01,33,34,5,5,1,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,10,1,0,0,0,0,0
25,P,Jordan Zimmermann\zimmejo02,30,19,5,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,38,1,0,0,1,0,0
26,P,Daniel Norris*\norrida01,23,14,3,2,0,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,4,0,0,0,0,0,0
27,P,Michael Fulmer\fulmemi01,23,26,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
28,P,Shane Greene\greensh02,27,50,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
29,P,Bobby Parnell\parnebo01,31,6,0,,,,,,,,,,,,,,,,,,,,,,
30,P,Buck Farmer*\farmebu01,25,14,0,,,,,,,,,,,,,,,,,,,,,,
31,P,Bruce Rondon\rondobr01,25,37,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
32,P,Francisco Rodriguez\rodrifr03,34,61,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Kyle Ryan*\ryanky01,24,56,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Joe Mantiply\mantijo01,25,5,0,,,,,,,,,,,,,,,,,,,,,,
35,P,Matt Boyd*\boydma01,25,20,0,,,,,,,,,,,,,,,,,,,,,,
36,P,Drew VerHagen\verhadr01,25,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Alex Wilson\wilsoal01,29,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Dustin Molleken*\molledu01,31,4,0,,,,,,,,,,,,,,,,,,,,,,
39,P,Blaine Hardy*\hardybl01,29,21,0,,,,,,,,,,,,,,,,,,,,,,
40,P,Logan Kensing\kensilo01,33,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Warwick Saupold\saupowa01,26,6,0,,,,,,,,,,,,,,,,,,,,,,
42,P,Justin Wilson*\wilsoju10,28,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Mike Pelfrey\pelfrmi01,32,24,0,,,,,,,,,,,,,,,,,,,,,,
44,P,Mark Lowe*\lowema01,33,54,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,30.1,161,6127,5526,750,1476,252,30,211,719,58,29,493,1303,.267,.331,.438,.769,108,2421,135,53,17,38,32
,,Rank in 15 AL teams,,,,7,6,2,13,5,6,,11,7,7,10,2,2,3,2,,3,,5,,10,
,,Non-Pitcher Totals,30.1,161,6104,5505,749,1474,252,30,211,719,58,29,492,1294,.268,.332,.439,.771,108,2419,135,53,16,38,32
,,Pitcher Totals,27.8,161,23,21,1,2,0,0,0,0,0,0,1,9,.095,.136,.095,.232,-35,2,0,0,1,0,0
